country,institution,programme_name_exact,degree_awarded,ects,programme_url,current_accepts_3yr
Belgium,UCLouvain,Master [120] in Business Engineering,"Master 120 credits (second-cycle degree, French Community of Belgium)",120,https://uclouvain.be/en-prog-2026-ingm2m,conditional
Belgium,Universite libre de Bruxelles (ULB),Master in Business engineering,"Master 120 credits (second-cycle degree, French Community of Belgium)",120,https://www.ulb.be/en/programme/ma-inge,NOT_FOUND
Belgium,Ghent University,Master of Science in Business Engineering - main subject Data Analytics,"Master of Science (MSc), 120 credits",120,https://www.ugent.be/eb/en/study-programmes/master-in-business-engineering,NOT_FOUND
Belgium,KU Leuven,Master of Business Engineering (Leuven),"Master of Science, 120 credits",120,https://onderwijsaanbod.kuleuven.be/opleidingen/e/SC_53419709/diploma_omschrijving,NOT_FOUND
Netherlands,Tilburg University,MSc Marketing Analytics,"Master of Science (MSc) - Dutch state-recognised master, RIO/CROHO code 60064",60,https://www.tilburguniversity.edu/education/masters-programs/marketing-analytics,NOT_FOUND
Netherlands,Tilburg University,MSc Business Analytics and Operations Research,"Master of Science (MSc) - Dutch state-recognised master, RIO/CROHO code 60057",60,https://www.tilburguniversity.edu/education/masters-programs/business-analytics-and-operations-research,NOT_FOUND
Netherlands,Maastricht University,MSc Business Intelligence and Smart Services,Master of Science (MSc),NOT_FOUND,https://www.maastrichtuniversity.nl/education/master/programmes/business-intelligence-and-smart-services,NOT_FOUND
Netherlands,University of Amsterdam,MSc Data Science and Business Analytics - Business Analytics track,Master of Science (MSc),60,https://www.uva.nl/en/programmes/masters/data-science-and-business-analytics-business-analytics/data-science-and-business-analytics-business-analytics.html,NOT_FOUND
Netherlands,"Tilburg University and Eindhoven University of Technology (Jheronimus Academy of Data Science, JADS)",Data Science in Business and Entrepreneurship (joint degree),Master of Science (MSc) - joint degree of Tilburg University and Eindhoven University of Technology; RIO/CROHO code 65018,120,https://www.tilburguniversity.edu/education/masters-programmes/data-science-business-and-entrepreneurship,conditional
Netherlands,Tilburg University,MSc Data Science and Society,"Master of Science (MSc) - Dutch state-recognised master, RIO/CROHO code 60964",60,https://www.tilburguniversity.edu/education/masters-programs/data-science-and-society,NOT_FOUND
Netherlands,Erasmus University Rotterdam,MScBA Business Analytics & Management,Master of Science in Business Administration (MScBA),60,https://www.rsm.nl/education/master/msc-programmes/mscba-business-analytics-management/,NOT_FOUND
Netherlands,TIAS School for Business and Society,Full-time Master in Management/Business Administration (MScBA) - Business Analytics Track,MSc — NVAO-accredited,NOT_FOUND,https://www.tias.edu/en/courses/full-time-master-in-managementbusiness-administration-mscba-13453,conditional
Belgium,IAD - Institut des Arts de Diffusion,Master Realisation Multimedia,"Master (Ecole superieure des Arts, French Community of Belgium)",NOT_FOUND,https://www.iad-arts.be/inscriptions-masters,NOT_FOUND
Netherlands,Amsterdam University of the Arts (AHK) - Netherlands Film Academy,Master of Film - Artistic Research in and through Cinema,Master of Film,120,https://www.filmacademie.ahk.nl/en/master-programmes/master-of-film-artistic-research-in-and-through-cinema/,NOT_FOUND
Netherlands,Amsterdam University of Applied Sciences (AUAS/HvA),Master Digital Design: Interaction Design,"Master (HBO master, Amsterdam University of Applied Sciences)",NOT_FOUND,https://www.amsterdamuas.com/programmes/master-digital-design-interaction-design,NOT_FOUND
Netherlands,"Rotterdam University of Applied Sciences - Willem de Kooning Academy, Piet Zwart Institute",Master of Arts in Fine Art and Design: Lens-Based Media,"Master of Arts (MA) - registered in RIO, Isat 49114, Brin 22OJ",NOT_FOUND,https://www.pzwart.nl/lens-based/,NOT_FOUND
Netherlands,"Rotterdam University of Applied Sciences - Willem de Kooning Academy, Piet Zwart Institute",Master of Arts in Fine Art and Design: Experimental Publishing,Master of Arts (MA),120,https://www.rotterdamuas.com/programmes/master/experimental-publishing/,NOT_FOUND
Netherlands,Breda University of Applied Sciences (BUas),Master Media Innovation,Master of Arts (MA),60,https://www.buas.nl/en/programmes/master-media-innovation,NOT_FOUND
Netherlands,Erasmus University Rotterdam,Master Media & Business (MA Media Studies),Master of Arts (MA),60,https://www.eur.nl/en/master/media-business,NOT_FOUND
Netherlands,Maastricht University,MA Media Studies: Digital Cultures,Master of Arts (MA),NOT_FOUND,https://www.maastrichtuniversity.nl/education/master/programmes/media-studies-digital-cultures,NOT_FOUND
Netherlands,Leiden University,Creative Intelligence & Technology (previously Media Technology),Master of Science — programme code 60206,120,https://www.universiteitleiden.nl/en/education/study-programmes/master/creative-intelligence--technology,conditional
