track,country,city,institution,institution_type,programme_name_exact,degree_awarded,faculty_or_school,language,duration_months,ects,intake_months,tuition_non_eu_per_year,tuition_source_url,living_cost_estimate_year,app_deadline_non_eu,app_deadline_source_url,min_prior_ects,accepts_3yr_bachelor,english_req,other_tests,portfolio_required,work_experience_required,quantitative_prereqs,programme_url,post_study_work_visa,fit_notes,verified_date,confidence
A,Sweden,Lund,Lund University,public,Data Analytics and Business Economics - Master's Programme,Master of Science (60 credits),Lund University School of Economics and Management (LUSEM),EN,12,60,August,"13638 (SEK 150000/yr; SEK 150000 total, first payment SEK 75000)",https://www.lunduniversity.lu.se/lubas/i-uoh-lu-EAGDA,11547 (SEK 127008/yr = SEK 10584/month Migrationsverket self-support requirement) PRIOR_CYCLE,2026-01-15 PRIOR_CYCLE,https://www.universityadmissions.se/en/key-dates-and-deadlines/autumn-semester-dates/,180,yes,English 6 (Swedish upper-secondary level) or equivalent,NOT_FOUND,n/a,no,30 cr statistics/mathematics incl. regression analysis; or 60 cr economics/informatics/business administration incl. econometrics or regression analysis plus statistics/mathematics; or 60 cr statistics incl. regression analysis,https://www.lunduniversity.lu.se/lubas/i-uoh-lu-EAGDA,NOT_FOUND,One-year 60-ECTS MSc hosted by a business faculty; a 180-credit three-year bachelor is explicitly sufficient. Admission turns on documented statistics/regression credits.,2026-08-16,high
A,Sweden,Karlskrona,Blekinge Institute of Technology (BTH),public,"Master's programme in Business Analytics, 120 credits",Master's degree (120 credits) in Industrial Economics and Management,Department of Industrial Economics,EN,24,120,August,12728 (SEK 140000/yr; SEK 70000 per semester),https://www.bth.se/english/education/programmes/masters-programme-in-business-analytics-120-credits,11547 (SEK 127008/yr = SEK 10584/month Migrationsverket self-support requirement) PRIOR_CYCLE,2026-01-15 PRIOR_CYCLE,https://www.universityadmissions.se/en/key-dates-and-deadlines/autumn-semester-dates/,180,conditional,English 6,NOT_FOUND,n/a,no,24 cr mathematics incl. linear algebra (5 cr) and statistics (5 cr); 5 cr programming; 6 cr industrial economics and/or management,https://www.bth.se/english/education/programmes/masters-programme-in-business-analytics-120-credits,NOT_FOUND,"Entry requires a Bachelor of Science in Engineering or a technical degree, which a business-school Business Intelligence licence may not satisfy. Quantitative course thresholds are specified in credits.",2026-08-16,high
A,Sweden,Lulea,Lulea University of Technology,public,Master Programme in Data Analytics in Business and Economics,Master of Science (60 credits) with specialisation in data analytics in Economics or Business Administration,NOT_FOUND,EN,12,60,August,NOT_FOUND,NOT_FOUND,11547 (SEK 127008/yr = SEK 10584/month Migrationsverket self-support requirement) PRIOR_CYCLE,2026-01-15 PRIOR_CYCLE,https://www.ltu.se/en/education/programme/fneda-master-programme-in-data-analytics-in-business-and-economics,180,yes,English 6 / English level 2,NOT_FOUND,n/a,no,"180 cr in Business Administration or Economics incl. programming 7.5 ECTS, databases 7.5 ECTS, mathematics 7.5 ECTS, statistics 15 ECTS",https://www.ltu.se/en/education/programme/fneda-master-programme-in-data-analytics-in-business-and-economics,NOT_FOUND,"Bachelor must be in Business Administration or Economics with programming, database, mathematics and statistics credits. The university fee table does not list a rate for this programme.",2026-08-16,medium
A,Sweden,Jonkoping,Jonkoping University,private-accredited-by-state,Master in Digital Business and AI Management,Degree of Master of Science (120 credits) with a major in Business Administration,Jonkoping International Business School (JIBS),EN,24,120,August,"12547 (SEK 138000/yr; SEK 69000 first semester, SEK 276000 total)",https://ju.se/en/study-at-ju/our-programmes/master-programmes/digital-business-and-ai-management-autumn-2026-mu114.html,11547 (SEK 127008/yr = SEK 10584/month Migrationsverket self-support requirement) PRIOR_CYCLE,2026-01-15 PRIOR_CYCLE,https://www.universityadmissions.se/en/key-dates-and-deadlines/autumn-semester-dates/,180,conditional,Proof of English proficiency required (score not stated on the programme page),NOT_FOUND,n/a,no,At least 30 credits in Business Administration,https://ju.se/en/study-at-ju/our-programmes/master-programmes/digital-business-and-ai-management-autumn-2026-mu114.html,NOT_FOUND,Requires a 180-ECTS bachelor with at least 30 credits in Business Administration. Private non-profit institution with state-granted degree-awarding rights including doctorates.,2026-08-16,medium
A,Denmark,Frederiksberg (Copenhagen),Copenhagen Business School (CBS),public,MSc in Business Administration and Data Science,"Master of Science (MSc), 120 ECTS",Copenhagen Business School,EN,24,120,September,"16000 (EUR 16000/yr; DKK 120000/yr, EUR 8000 per semester)",https://www.cbs.dk/en/study/graduate/admission/non-eueea-citizens,NOT_FOUND,2027-01-15,https://www.cbs.dk/en/study/graduate/admission/non-eueea-citizens,180,yes,English at Danish A level; IELTS Academic 7.0 overall with 6.0 in each component or TOEFL iBT 94,Application fee EUR 150 for non-EU/EEA applicants,n/a,no,"Minimum 30 ECTS across quantitative methods (statistics, mathematics, econometrics), information technology (programming/computer science) and/or economics",https://www.cbs.dk/en/study/graduate/msc-in-business-administration-and-data-science,NOT_FOUND,A three-year 180-ECTS bachelor is explicitly accepted and the 30-ECTS quantitative/IT requirement matches a Business Intelligence licence. Non-EU applicants must apply in Group 2 by 15 January.,2026-08-16,high
A,Denmark,Aarhus,Aarhus University,public,MSc in Economics and Business Administration - Business Intelligence,Master of Science (MSc) in Economics and Business Administration,"Aarhus BSS, School of Business and Social Sciences",EN,24,120,September,"13000 (EUR 13000/yr for 60 ECTS, academic year 2026/27)",https://masters.au.dk/tuitionfees/current-tuition-fee-rates,NOT_FOUND,2027-01-15,https://masters.au.dk/deadlines-and-important-dates/timeline-summer-non-eu,180,conditional,Aarhus University English language requirements (specific score not stated on the programme page),Application fee EUR 150 for non-EU/EEA applicants (covers up to three AU applications),n/a,no,"85 ECTS of specified business subjects incl. 10 ECTS quantitative methods or statistics, 7.5 ECTS each in marketing, finance, accounting and organisation/leadership, 5 ECTS each in microeconomics and operations management, plus a 10 ECTS bachelor project",https://masters.au.dk/businessintelligence,NOT_FOUND,Requires 85 ECTS of prescribed business coursework including 10 ECTS of quantitative methods. Limited intake with ranked selection among qualified applicants.,2026-08-16,high
A,Denmark,Aalborg,Aalborg University,public,Economics and Business Administration - Business Data Science,Master of Science (MSc) in Economics and Business Administration,Aalborg University Business School,EN,24,120,September,7450 (DKK 55600/yr; DKK 27800 = EUR 3725 per semester),https://www.en.aau.dk/education/apply/master/finance-and-fees,NOT_FOUND,2027-01-15,https://www.en.aau.dk/education/apply/master/how-and-when-to-apply,180,yes,English at Danish B level plus an AAU-approved English test for English-taught master's programmes,Application fee EUR 150 for non-EU/EEA applicants,n/a,no,NOT_FOUND,https://www.en.aau.dk/education/master/economics-and-business-administration/business-data-science,NOT_FOUND,Lowest verified non-EU tuition for Track A in the territory. Requires a relevant recognised bachelor equivalent to a Danish 180-ECTS degree; subject-credit thresholds are not published on the English pages.,2026-08-16,medium
A,Norway,Oslo,BI Norwegian Business School,private,Master of Science in Business Analytics,"Master of Science (MSc), 120 ECTS",BI Norwegian Business School,EN,24,120,August,"12404 (NOK 135600/yr, rate for citizens outside the EU/EEA/Switzerland including the 30% differential)",https://www.bi.no/en/programmes-and-individual-courses/master-programmes/business-analytics/,15584 (NOK 170368/yr UDI subsistence requirement 2026/2027),2026-03-01 PRIOR_CYCLE,https://www.bi.no/en/programmes-and-individual-courses/master-programmes/business-analytics/,180,yes,NOT_FOUND,NOT_FOUND,n/a,no,"Bachelor (180 ECTS) in business administration, finance, economics or a related quantitative field including statistics, mathematics, research methods or econometrics; minimum grade B in Statistics and Mathematics and a B average in two further quantitative courses",https://www.bi.no/en/programmes-and-individual-courses/admissions/admission-requirements/master-of-science-in-business-analytics/,NOT_FOUND,Priority deadline 1 March with rolling admission thereafter; limited enrolment. The binding constraint is the minimum grade B in statistics and mathematics.,2026-08-16,medium
A,Norway,Bergen,NHH Norwegian School of Economics,public,"Master of Science in Economics and Business Administration, major in Business Analytics",Master of Science in Economics and Business Administration (120 ECTS),NHH Norwegian School of Economics,EN,24,120,August,"18660 (NOK 204000/yr, 2026/2027 cohort; NOK 196000 for the 2025/2026 cohort)",https://www.nhh.no/en/study-programmes/application-and-admission/financial-matters/,15584 (NOK 170368/yr UDI subsistence requirement 2026/2027),2027-02-15,https://www.nhh.no/en/study-programmes/msc-in-economics-and-business-administration/,180,conditional,NOT_FOUND,NOT_FOUND,n/a,no,90 ECTS of the bachelor degree must be within economics and business administration,https://www.nhh.no/en/study-programmes/msc-in-economics-and-business-administration/,NOT_FOUND,Business Analytics is one of ten majors inside the MSc in Economics and Business Administration. Tuition is fixed per cohort for the nominal two years of the degree.,2026-08-16,medium
A,Finland,Oulu,University of Oulu,public,"Business Analytics, Master of Science (Economics and Business Administration) (2 years)",Master of Science (Economics and Business Administration),Oulu Business School,EN,24,120,autumn,12000 (EUR 12000/yr),https://opintopolku.fi/konfo/en/toteutus/1.2.246.562.17.00000000000000001405,9600 (EUR 800/month Migri residence-permit requirement),2026-01-21 PRIOR_CYCLE,https://opintopolku.fi/konfo/en/toteutus/1.2.246.562.17.00000000000000001405,180,yes,NOT_FOUND,Application fee EUR 100 for non-EU/EEA applicants,n/a,no,NOT_FOUND,https://opintopolku.fi/konfo/en/toteutus/1.2.246.562.17.00000000000000001405,NOT_FOUND,Foreign bachelor's degrees are listed as qualifying prior education; 20 study places. Studyinfo records no scholarship for this programme.,2026-08-16,high
