track,country,city,institution,institution_type,programme_name_exact,degree_awarded,faculty_or_school,language,duration_months,ects,intake_months,tuition_non_eu_per_year,tuition_source_url,living_cost_estimate_year,app_deadline_non_eu,app_deadline_source_url,min_prior_ects,accepts_3yr_bachelor,english_req,other_tests,portfolio_required,work_experience_required,quantitative_prereqs,programme_url,post_study_work_visa,fit_notes,verified_date,confidence,entry_requirement_note,entry_requirement_source_url,entry_requirement_note,entry_requirement_source_url
A,Poland,Warsaw,SGH Warsaw School of Economics,public,Advanced Analytics - Big Data,"Master's degree (magister), second-cycle studies",SGH Warsaw School of Economics,EN,24,NOT_FOUND,10,4800 (2400 EUR per semester; 2450 EUR per semester if paid in 5 instalments),https://www.sgh.waw.pl/en/table-fees-graduate-studies,NOT_FOUND,2026-07-23,https://www.sgh.waw.pl/en/admissions-schedule-graduate-studies-international-applicants,180,yes,IELTS 5.5 or TOEFL iBT 72 or FCE/CAE/CPE; waived if prior studies were in English,NAWA recognition statement required for non-EU diplomas from 1 July 2025,no,no,"Prior understanding of linear algebra, mathematical analysis and probability theory required",https://www.sgh.waw.pl/en/second-cycle-studies/master-studies-advanced-analytics-big-data,NOT_FOUND,"Direct match to a BI/analytics profile: Python and R taught from scratch, advanced data analysis. Bachelor in any field accepted, so the 180-ECTS licence qualifies.",2026-08-16,medium,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND
A,Poland,Warsaw,University of Warsaw,public,"Data Science and Business Analytics, full-time, second cycle programme (in English)",Master's degree (MA),Faculty of Economic Sciences,EN,24,NOT_FOUND,10,"4900 (same rate for EU and non-EU citizens, 2026/2027 fee table)",http://rekrutacja.uw.edu.pl/files/pdf/tuition_fees_2026-2027_06.2026.pdf,NOT_FOUND,NOT_FOUND,NOT_FOUND,180,yes,"English at B2 minimum, evidenced by a document accepted by the University of Warsaw","Ranking-based points system, minimum 30 of 100 points",no,no,"Programme expects a foundation in mathematics, statistics and programming",https://irk.uw.edu.pl/en-gb/offer/PELNE2026/programme/S2-DS/?from=registration%3APELNE2026,NOT_FOUND,"Bachelor in any field is accepted, so a 180-ECTS licence qualifies. Econometrics, machine learning and IT programming core matches the applicant's Python/SQL/Power BI base.",2026-08-16,high,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND
A,Poland,Warsaw,University of Warsaw,public,"Digital Business, full-time, second cycle","Master's degree, second-cycle",Faculty of Management,EN,18,NOT_FOUND,10,"5000 (2500 EUR per semester, 2026/2027 fee table)",http://rekrutacja.uw.edu.pl/files/pdf/tuition_fees_2026-2027_06.2026.pdf,NOT_FOUND,2026-07-16,https://irk.uw.edu.pl/en-gb/offer/PELNE2026/programme/S2-PRK-DB/?from=registration%3APELNE2026,180,yes,B2 minimum; candidates without an accepted certificate sit an online English test (min 15/30),Online written examination in management and economics (min 15/30),no,no,NOT_FOUND,https://irk.uw.edu.pl/en-gb/offer/PELNE2026/programme/S2-PRK-DB/?from=registration%3APELNE2026,NOT_FOUND,Three-semester digital business master at a management faculty; higher education in any field is the stated prerequisite.,2026-08-16,medium,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND
A,Poland,Warsaw,Kozminski University,private-accredited-by-state,Master in Big Data Science,Master's level degree,Kozminski University,EN,24,NOT_FOUND,10,9011 (38800 PLN for year 1; 42800 PLN for year 2; ECB rate 4.3068 PLN/EUR of 2026-08-14),https://www.kozminski.edu.pl/en/programs/graduate-programs-master/master-big-data-science,NOT_FOUND,2026-09-30,https://www.kozminski.edu.pl/en/programs/graduate-programs-master/master-big-data-science,180,yes,IELTS Academic 6.5 overall,"Online entry test (30 questions, 40 min) plus GPA; minimum 60 of 100 points",no,no,NOT_FOUND,https://www.kozminski.edu.pl/en/programs/graduate-programs-master/master-big-data-science,NOT_FOUND,Closest Polish private-sector match to the applicant's BI background. Non-EU applicants are advised to apply before 1 August because of visa processing and must pay a full year of tuition before visa documents are issued.,2026-08-16,medium,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND
B,Poland,Warsaw,Polish-Japanese Academy of Information Technology (PJAIT/PJATK),private-accredited-by-state,"Graphic Design and Multimedia Art (second-cycle, full-time, English-language)","Master's degree, second-cycle",Faculty of New Media Art,EN,18,NOT_FOUND,10,6037 (2600 PLN per month over 5 months per semester = 26000 PLN per year; ECB rate 4.3068 PLN/EUR of 2026-08-14) PRIOR_CYCLE,https://pja.edu.pl/en/projektowanie-graficzne-i-sztuka-multimediow/oplaty-za-studia/,NOT_FOUND,2026-09-30,https://pja.edu.pl/en/projektowanie-graficzne-i-sztuka-multimediow/projektowanie-graficzne-i-sztuka-multimediow-studia-ii-stopnia-stacjonarne-anglojezyczne/o-kierunku/,NOT_FOUND,NOT_FOUND,Taught in English; no certificate threshold published on the programme page,Portfolio consultation and interview (online for candidates abroad),yes,no,NOT_FOUND,https://pja.edu.pl/en/projektowanie-graficzne-i-sztuka-multimediow/projektowanie-graficzne-i-sztuka-multimediow-studia-ii-stopnia-stacjonarne-anglojezyczne/o-kierunku/,NOT_FOUND,"Three-semester multimedia/new-media art master covering XR, VR and AR; 70 percent fine arts, 30 percent computer science. Portfolio-driven admission suits the applicant's videography practice.",2026-08-16,medium,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND
A,Czechia,Prague,Prague University of Economics and Business (VSE),public,Economic Data Analysis,Ing. (inzenyr) - second-cycle master's degree accredited by the Czech Ministry of Education (MSMT),Faculty of Informatics and Statistics,EN,24,NOT_FOUND,9,"5000 (2500 EUR per semester, academic year 2026/2027)",https://fis.vse.cz/english/apply/,NOT_FOUND,2027-02-28,https://fis.vse.cz/english/admissions/admissions/master/,180,yes,"IELTS 6.0, TOEFL iBT 78, FCE/CAE/CPE or Duolingo 110; waived if the bachelor was taught in English","Admission exam: CV assessment 20 percent, oral online examination 80 percent",no,no,Bachelor's degree in a related field recommended,https://fis.vse.cz/english/about/about-the-programmes/economic-data-analysis/,NOT_FOUND,"Applications for 2026/2027 closed; the 2027/2028 round opens November 2026, matching the working assumption of an autumn 2027 intake. Round I (to 28 Feb 2027) is the one recommended for visa-required applicants.",2026-08-16,medium,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND
A,Czechia,Prague,Prague University of Economics and Business (VSE),public,Information Systems Management,Ing. (inzenyr) - second-cycle master's degree accredited by the Czech Ministry of Education (MSMT),Faculty of Informatics and Statistics,EN,24,NOT_FOUND,9,"5000 (2500 EUR per semester, academic year 2026/2027)",https://fis.vse.cz/english/apply/,NOT_FOUND,2027-02-28,https://fis.vse.cz/english/admissions/admissions/master/,180,yes,"IELTS 6.0, TOEFL iBT 78, FCE/CAE/CPE or Duolingo 110; waived if the bachelor was taught in English","Admission exam: CV assessment 20 percent, oral online examination 80 percent",no,no,Bachelor's degree in a related field recommended,https://fis.vse.cz/english/admissions/admissions/master/,NOT_FOUND,"Applications for 2026/2027 closed; the 2027/2028 round opens November 2026, matching the working assumption of an autumn 2027 intake. Round I (to 28 Feb 2027) is the one recommended for visa-required applicants.",2026-08-16,medium,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND
B,Czechia,Prague,Academy of Performing Arts in Prague - Film and TV School (FAMU),public,Directing Cinema and Digital Media (MA),MgA. (Master of Arts),FAMU International,EN,36,NOT_FOUND,10,22723 (550000 CZK; ECB rate 24.205 CZK/EUR of 2026-08-14),https://www.famu.cz/en/departments/famu-international-fi/tuition-fees/,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,Taught in English; no published certificate threshold,Entrance examination and interview,yes,no,NOT_FOUND,https://www.famu.cz/en/applicants/masters-study-programs/,NOT_FOUND,Open to applicants holding a bachelor's degree or in their final bachelor year with substantial portfolio work. Applications for 2027/2028 open 2 November 2026 (Photography 2 October 2026); the school states fees include all shooting and workshop budgets.,2026-08-16,medium,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND
B,Czechia,Prague,Academy of Performing Arts in Prague - Film and TV School (FAMU),public,Montage (MA),MgA. (Master of Arts),FAMU International,EN,36,NOT_FOUND,10,12394 (300000 CZK; ECB rate 24.205 CZK/EUR of 2026-08-14),https://www.famu.cz/en/departments/famu-international-fi/tuition-fees/,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,Taught in English; no published certificate threshold,Entrance examination and interview,yes,no,NOT_FOUND,https://www.famu.cz/en/applicants/masters-study-programs/,NOT_FOUND,Open to applicants holding a bachelor's degree or in their final bachelor year with substantial portfolio work. Applications for 2027/2028 open 2 November 2026 (Photography 2 October 2026); the school states fees include all shooting and workshop budgets.,2026-08-16,medium,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND
B,Czechia,Prague,Academy of Performing Arts in Prague - Film and TV School (FAMU),public,Cinematography (MA),MgA. (Master of Arts),FAMU International,EN,36,NOT_FOUND,10,20245 (490000 CZK; ECB rate 24.205 CZK/EUR of 2026-08-14),https://www.famu.cz/en/departments/famu-international-fi/tuition-fees/,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,Taught in English; no published certificate threshold,Entrance examination and interview,yes,no,NOT_FOUND,https://www.famu.cz/en/applicants/masters-study-programs/,NOT_FOUND,Open to applicants holding a bachelor's degree or in their final bachelor year with substantial portfolio work. Applications for 2027/2028 open 2 November 2026 (Photography 2 October 2026); the school states fees include all shooting and workshop budgets.,2026-08-16,medium,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND
