track,country,city,institution,institution_type,programme_name_exact,degree_awarded,faculty_or_school,language,duration_months,ects,intake_months,tuition_non_eu_per_year,tuition_source_url,living_cost_estimate_year,app_deadline_non_eu,app_deadline_source_url,min_prior_ects,accepts_3yr_bachelor,english_req,other_tests,portfolio_required,work_experience_required,quantitative_prereqs,programme_url,post_study_work_visa,fit_notes,verified_date,confidence,entry_requirement_note,entry_requirement_source_url,entry_requirement_note,entry_requirement_source_url
A,Greece,"Thermi, Thessaloniki",International Hellenic University,public,MSc in e-Business and Digital Marketing,"MSc — Greek state postgraduate degree, HAHE/ETHAAE certified, published in the Government Gazette",School of Science and Technology (UCIPS),EN,18,90,October,"3700 (total for the programme, no EU/non-EU differential published)",https://st.ihu.gr/studies/postgraduate/ebusiness,NOT_FOUND,2026-08-26 PRIOR_CYCLE,https://st.ihu.gr/studies/postgraduate/ebusiness,NOT_FOUND,conditional,State Certificate B2 or equivalent (waived for English-medium degree holders),NOT_FOUND,n/a,no,"Undergraduate degree in Engineering, Science, Informatics, or Economics and Business Administration",https://st.ihu.gr/studies/postgraduate/ebusiness,NOT_FOUND,"Digital business and marketing analytics; fits the BI licence directly. Delivery is hybrid in-person/remote on weekday evenings, which collides with the MESRS in-person-examination criterion.",2026-08-16,high,"Who can apply: ""An undergraduate University degree in Engineering, Science, Informatics, Economics & Business Administration as well as from Technological Educational Institutes in related subject areas, in Greece or a recognized Higher Education Institution from abroad."" Key-facts box: ""An undergraduate degree from an accredited University, preferably in Engineering, Science, Informatics, Economics & Business Administration."" No ECTS floor and no minimum number of years is published. Foreign institutions must be on the DOATAP recognised list, and enrolment requires an authenticated degree (validation via a Greek consulate/embassy, can take 3+ months). Greek first-cycle degrees are normally 4 years / 240 ECTS, but the programme publishes no credit minimum, so 180 ECTS is neither accepted nor excluded in writing.",https://st.ihu.gr/studies/postgraduate/ebusiness,"Who can apply: ""An undergraduate University degree in Engineering, Science, Informatics, Economics & Business Administration as well as from Technological Educational Institutes in related subject areas, in Greece or a recognized Higher Education Institution from abroad."" Key-facts box: ""An undergraduate degree from an accredited University, preferably in Engineering, Science, Informatics, Economics & Business Administration."" No ECTS floor and no minimum number of years is published. Foreign institutions must be on the DOATAP recognised list, and enrolment requires an authenticated degree (validation via a Greek consulate/embassy, can take 3+ months). Greek first-cycle degrees are normally 4 years / 240 ECTS, but the programme publishes no credit minimum, so 180 ECTS is neither accepted nor excluded in writing.",https://st.ihu.gr/studies/postgraduate/ebusiness
A,Greece,"Thermi, Thessaloniki",International Hellenic University,public,MSc in Data Science,"MSc — Greek state postgraduate degree, HAHE/ETHAAE certified",School of Science and Technology (UCIPS),EN,18,90,October,3700 (total for the programme),https://st.ihu.gr/studies/postgraduate/datascience,NOT_FOUND,2026-08-26 PRIOR_CYCLE,https://st.ihu.gr/studies/postgraduate/datascience,NOT_FOUND,conditional,State Certificate B2 or equivalent,NOT_FOUND,n/a,no,Preferably STEM; other degrees considered with a solid background in statistics/mathematics and knowledge of databases and programming,https://st.ihu.gr/studies/postgraduate/datascience,NOT_FOUND,"General data science rather than business-hosted; included on the same footing as Utrecht Applied Data Science and Tilburg Data Science and Society. Hybrid delivery, same MESRS caveat as the e-Business programme.",2026-08-16,high,"Who can apply: ""An undergraduate degree from a Higher Education Institution in Greece or a recognized Higher Education Institution from abroad. STEM (Science, Technology, Engineering and Mathematics) degrees are deemed to be compatible with the programme. However, other degrees are also considered in case of solid background in statistics/mathematics and good knowledge of fundamental concepts of databases and programming."" No ECTS floor and no minimum duration published. Foreign institution must be DOATAP-recognised; enrolment requires an authenticated degree. Subject-specific expectation (statistics/mathematics, databases, programming) is assessed individually rather than by credit count.",https://st.ihu.gr/studies/postgraduate/datascience,"Who can apply: ""An undergraduate degree from a Higher Education Institution in Greece or a recognized Higher Education Institution from abroad. STEM (Science, Technology, Engineering and Mathematics) degrees are deemed to be compatible with the programme. However, other degrees are also considered in case of solid background in statistics/mathematics and good knowledge of fundamental concepts of databases and programming."" No ECTS floor and no minimum duration published. Foreign institution must be DOATAP-recognised; enrolment requires an authenticated degree. Subject-specific expectation (statistics/mathematics, databases, programming) is assessed individually rather than by credit count.",https://st.ihu.gr/studies/postgraduate/datascience
A,Greece,Athens,Athens University of Economics and Business,public,MSc in Marketing Analytics,MSc — Greek state postgraduate degree,Department of Marketing and Communication,EN,15,75,September,"4800 (total, full-time; part-time 5800). No non-EU differential published; figures for September 2026 entry",https://www.dept.aueb.gr/en/marketinganalytics/content/tuition-fees,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,conditional,C2 for the full-time programme (C1 part-time) — an unusually high bar,NOT_FOUND,n/a,"no for full-time; yes, 2 years, for part-time",Includes a 3-month Analytics Capstone Project,https://www.dept.aueb.gr/en/marketinganalytics,NOT_FOUND,"Exact-title Track A match at a public university already in the dataset for another programme. The C2 English requirement is the binding constraint, not the fee.",2026-08-16,medium,"Admission requirement: ""An undergraduate degree from a formally recognized Greek or foreign University."" Application process adds: ""In case of foreign degrees, applicants must submit a recognition certificate from the National Academic Recognition Information Center"" (DOATAP). No ECTS floor, no minimum years, no subject restriction published. English C2 for full-time / C1 for part-time; part-time also needs 2 years work experience. Whether a 180-ECTS Tunisian licence qualifies turns entirely on the DOATAP/AUEB academic assessment of the foreign title.",https://www.dept.aueb.gr/en/marketinganalytics,"Admission requirement: ""An undergraduate degree from a formally recognized Greek or foreign University."" Application process adds: ""In case of foreign degrees, applicants must submit a recognition certificate from the National Academic Recognition Information Center"" (DOATAP). No ECTS floor, no minimum years, no subject restriction published. English C2 for full-time / C1 for part-time; part-time also needs 2 years work experience. Whether a 180-ECTS Tunisian licence qualifies turns entirely on the DOATAP/AUEB academic assessment of the foreign title.",https://www.dept.aueb.gr/en/marketinganalytics
A,Greece,Athens,Athens University of Economics and Business,public,MSc in AI and Data Science,MSc — Greek state postgraduate degree,Departments of Informatics and Statistics (joint),EN,NOT_FOUND,NOT_FOUND,NOT_FOUND,"6000 (total; 3000 of assistantships available to full-time students, reducing the effective fee to 3000)",https://www.dept.aueb.gr/en/cs/content/graduate-study-program-master-science-data-science,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,conditional,NOT_FOUND,NOT_FOUND,n/a,no,NOT_FOUND,https://datascience.aueb.gr/,NOT_FOUND,Informatics and Statistics faculty with no business stream; included on the same general-data-science footing as the Utrecht and Tilburg rows. Assistantships halve the effective cost.,2026-08-16,medium,"The official Admission Requirements page lists required documents only, including ""Copy of all university degrees/diplomas received"" and ""Certificate of equivalence for degrees from foreign Universities, issued by DOATAP/Hellenic NARIC"", plus proof of English at C2, two recommendation letters and CV. No accepted-degree list, no ECTS floor and no minimum years of prior study are published on the page (it defers to the annual Call for Applications). Admission of a 180-ECTS licence therefore depends on the DOATAP/Hellenic NARIC equivalence certificate.",https://datascience.aueb.gr/page.php?id=115,"The official Admission Requirements page lists required documents only, including ""Copy of all university degrees/diplomas received"" and ""Certificate of equivalence for degrees from foreign Universities, issued by DOATAP/Hellenic NARIC"", plus proof of English at C2, two recommendation letters and CV. No accepted-degree list, no ECTS floor and no minimum years of prior study are published on the page (it defers to the annual Call for Applications). Admission of a 180-ECTS licence therefore depends on the DOATAP/Hellenic NARIC equivalence certificate.",https://datascience.aueb.gr/page.php?id=115
B,Greece,Thessaloniki,Aristotle University of Thessaloniki,public,Digital Media - Computational Intelligence,MSc — Greek state postgraduate degree,School of Informatics,EN,18,90,NOT_FOUND,1800 (total for the programme) — the cheapest qualifying Track B programme in the dataset,https://studies.minedu.gov.gr/program/?programme_id=1191,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,conditional,NOT_FOUND,NOT_FOUND,no,no,"A degree in computer science, electrical and computer engineering, or a numerate physical science discipline — a real risk for a Business Intelligence licence and must be checked before applying",https://dmci-en.csd.auth.gr/,NOT_FOUND,"Delivered in person, which matters for MESRS equivalence. Comparable to the Bauhaus-Weimar Computer Science for Digital Media row already in the dataset.",2026-08-16,high,"Graduates Abroad category: ""Graduates of departments of Universities from abroad in a discipline related to Computer Science. That is, a degree (or an international equivalent) is required in computer science or electrical and computer engineering or a numerate physical science discipline)."" Grade floor: ""A Bachelor's degree as described above, with a minimum requirement of a 6.5 grade (or the equivalent for different grading systems)"" and ""The minimum grade of the degree/diploma or first cycle must be at least equal to six (6) in the scale 0-10"". No ECTS floor and no minimum years published. CRITICAL: ""Master's degree is not awarded to a postgraduate student whose title of first-cycle studies (i.e. BSc.) from a foreign Institution has not been recognized by the Hellenic National Academic Recognition and Information Center (DOATAP), according to the Law 3328/2005 (A' 80)"" - DOATAP recognition of the Tunisian licence is a condition of graduating, not merely of entry.",https://dmci-en.csd.auth.gr/candidates/,"Graduates Abroad category: ""Graduates of departments of Universities from abroad in a discipline related to Computer Science. That is, a degree (or an international equivalent) is required in computer science or electrical and computer engineering or a numerate physical science discipline)."" Grade floor: ""A Bachelor's degree as described above, with a minimum requirement of a 6.5 grade (or the equivalent for different grading systems)"" and ""The minimum grade of the degree/diploma or first cycle must be at least equal to six (6) in the scale 0-10"". No ECTS floor and no minimum years published. CRITICAL: ""Master's degree is not awarded to a postgraduate student whose title of first-cycle studies (i.e. BSc.) from a foreign Institution has not been recognized by the Hellenic National Academic Recognition and Information Center (DOATAP), according to the Law 3328/2005 (A' 80)"" - DOATAP recognition of the Tunisian licence is a condition of graduating, not merely of entry.",https://dmci-en.csd.auth.gr/candidates/
B,Netherlands,Leiden,Leiden University,public,Creative Intelligence & Technology (previously Media Technology),Master of Science — programme code 60206,Faculty of Science,EN,24,120,"September, February",22500 (institutional fee 2026-2027; 2694 statutory for EU/EEA),https://www.universiteitleiden.nl/en/education/study-programmes/master/creative-intelligence--technology/admission-and-application/tuition-fees,NOT_FOUND,2027-04-01,https://www.universiteitleiden.nl/en/education/study-programmes/master/creative-intelligence--technology,NOT_FOUND,conditional,NOT_FOUND,NOT_FOUND,no,no,NOT_FOUND,https://www.universiteitleiden.nl/en/education/study-programmes/master/creative-intelligence--technology,NOT_FOUND,"Resolves the Media Technology question: renamed, not abolished. Markets itself as open to any prior bachelor field, which makes it one of the few Track B routes not gated on a media degree.",2026-08-16,high,"No ECTS or year threshold published - the requirement is expressed as level comparability assessed individually by the Board of Admissions. For applicants from a foreign research university: a ""relevant bachelor's degree"" from an institution ""with a level similar to Dutch universities"", with the Board verifying both content and level. Relevant fields are ""such as, but not limited to, computer science, artificial intelligence, cognitive science, biology, design, mechanical engineering, or creative/performing arts"". Substantive requirements: affinity and experience with fundamental and/or knowledge-driven research; affinity and experience with technology and its embedding in the human context; ability to think and reason beyond disciplinary borders; competence in imperative programming (C, C++, Java, Python); and mathematics covering algebra, functions, statistics, probability and distributions. No pre-master or bridging route is mentioned, so a shortfall means rejection rather than a bridging year.",https://www.universiteitleiden.nl/en/education/study-programmes/master/creative-intelligence--technology/admission-and-application/admission-requirements,"No ECTS or year threshold published - the requirement is expressed as level comparability assessed individually by the Board of Admissions. For applicants from a foreign research university: a ""relevant bachelor's degree"" from an institution ""with a level similar to Dutch universities"", with the Board verifying both content and level. Relevant fields are ""such as, but not limited to, computer science, artificial intelligence, cognitive science, biology, design, mechanical engineering, or creative/performing arts"". Substantive requirements: affinity and experience with fundamental and/or knowledge-driven research; affinity and experience with technology and its embedding in the human context; ability to think and reason beyond disciplinary borders; competence in imperative programming (C, C++, Java, Python); and mathematics covering algebra, functions, statistics, probability and distributions. No pre-master or bridging route is mentioned, so a shortfall means rejection rather than a bridging year.",https://www.universiteitleiden.nl/en/education/study-programmes/master/creative-intelligence--technology/admission-and-application/admission-requirements
A,Netherlands,Tilburg,TIAS School for Business and Society,private,Full-time Master in Management/Business Administration (MScBA) - Business Analytics Track,MSc — NVAO-accredited,NOT_FOUND,EN,12,NOT_FOUND,NOT_FOUND,"28500 (total for the programme, VAT-exempt)",https://www.tias.edu/en/courses/full-time-master-in-managementbusiness-administration-mscba-13453,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,conditional,NOT_FOUND,NOT_FOUND,n/a,no,NOT_FOUND,https://www.tias.edu/en/courses/full-time-master-in-managementbusiness-administration-mscba-13453,NOT_FOUND,"One-year 12-month master, so it sits inside the MESRS two-year-post-licence risk band. ECTS and the non-EU deadline are not published.",2026-08-16,medium,"No credit or year figure published. Stated requirements: ""At least a Bachelor's degree (Research University or University of Applied Sciences)"" - notably an HBO/applied-sciences bachelor is explicitly acceptable, which is unusually permissive for this list; ""An average (GPA) of 3.0 out of 4.0 or 7 out of 10, or an overall average of 80 from 100%""; ""You must take the TIAS Capacity Test (TCT - free, online test available in multiple languages) or the GMAT""; IELTS 6.5 / TOEFL 90 / Cambridge C1 unless the bachelor was taught fully in English; ""Work experience is not required for this master."" Bridging is modular rather than a full year: ""Depending on your bachelor background and test results, you may be required to attend all or one of the preparatory courses"" - Academic Writing Skills (EUR600), Basic Accounting and Finance (EUR400), Quantitative Methods (EUR400) - ""The recommended courses must be completed before the start of master."" An admissions interview with a member of the Admissions Board is part of the process.",https://www.tias.edu/en/courses/full-time-master-in-managementbusiness-administration-mscba-13453/apply,"No credit or year figure published. Stated requirements: ""At least a Bachelor's degree (Research University or University of Applied Sciences)"" - notably an HBO/applied-sciences bachelor is explicitly acceptable, which is unusually permissive for this list; ""An average (GPA) of 3.0 out of 4.0 or 7 out of 10, or an overall average of 80 from 100%""; ""You must take the TIAS Capacity Test (TCT - free, online test available in multiple languages) or the GMAT""; IELTS 6.5 / TOEFL 90 / Cambridge C1 unless the bachelor was taught fully in English; ""Work experience is not required for this master."" Bridging is modular rather than a full year: ""Depending on your bachelor background and test results, you may be required to attend all or one of the preparatory courses"" - Academic Writing Skills (EUR600), Basic Accounting and Finance (EUR400), Quantitative Methods (EUR400) - ""The recommended courses must be completed before the start of master."" An admissions interview with a member of the Admissions Board is part of the process.",https://www.tias.edu/en/courses/full-time-master-in-managementbusiness-administration-mscba-13453/apply
A,Germany,Oestrich-Winkel / Wiesbaden,EBS Universitat fur Wirtschaft und Recht,private-accredited-by-state,Master in Business Analytics & AI,Master of Science,EBS Business School,EN,24,120,NOT_FOUND,33780 (total for the 4-semester track; 3000 early-enrolment reduction if enrolled by 28 February),https://www.ebs.edu/en/ebs-business-school/study-programmes/master-in-business-analytics,NOT_FOUND,no formal deadline; visa applicants advised to apply by 30 May for an autumn start,NOT_FOUND,180,yes,TOEFL iBT 95 or IELTS 7.0,GMAT / GRE / BAT / EBSgrad / CAT required,n/a,no,NOT_FOUND,https://www.ebs.edu/en/ebs-business-school/study-programmes/master-in-business-analytics,NOT_FOUND,"One of the few German programmes stating an explicit 180-ECTS floor in any field, which removes the DACH region's main obstacle for this applicant. The 60-ECTS accelerated track requires 240 ECTS and is closed.",2026-08-16,high,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND
B,Germany,Berlin,SRH University (formerly SRH Berlin University of Applied Sciences),private-accredited-by-state,"M.A. Film, Television and Digital Narratives",Master of Arts,NOT_FOUND,EN,24,120,April; October,"11543 (non-EU; SRH published rate EUR 5,950 per semester / EUR 11,543 per year / EUR 22,610 total, plus a one-off EUR 1,000 enrolment fee; price list valid from 1 April 2025)",https://www.srh-university.de/fileadmin/1HE/International/SRH-University-Tuition-Fees-EN-Non-EU.pdf,NOT_FOUND,none published; rolling,NOT_FOUND,NOT_FOUND,conditional,B2,NOT_FOUND,yes,no,"Portfolio of five to eight pieces of film work (films, screenplays, exposes or film analyses) plus a list of five favourite films/series",https://www.srh-university.de/en/master/film-television-digital-narratives/v/,NOT_FOUND,"The only Track B programme found in the entire operation that admits on portfolio rather than a prior degree in the field, which makes it one of the very few genuinely open to this applicant's videography practice.",2026-08-16,medium,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND
B,Switzerland,Zurich,Zurcher Hochschule der Kunste (ZHdK),applied-sciences,"MA Design, Major Interaction Design",Master of Arts in Design,NOT_FOUND,EN,24,120,September,2440 CHF (1220 CHF per semester for non-Swiss; 720 CHF per semester Swiss),https://www.zhdk.ch/en/degree-programmes/design/ma-design-interaction-design,NOT_FOUND,2027-02-27 (2026 date was 27 February; expect late February 2027),NOT_FOUND,NOT_FOUND,conditional,NOT_FOUND,NOT_FOUND,yes,no,NOT_FOUND,https://www.zhdk.ch/en/degree-programmes/design/ma-design-interaction-design,NOT_FOUND,Resolves the ZHdK question: this major is explicitly English-taught. ZHdK's six MA Film majors publish in German and are treated as German-taught. Very low fee for Switzerland.,2026-08-16,high,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND
