scholarship_name,funder,level,countries_covered,institutions_covered,tracks_eligible,covers,amount_eur_year,duration_covered,tunisia_eligible,other_eligibility,deadline,deadline_relative_to,application_route,url,verified_date,confidence
Erasmus Mundus Joint Masters (EMJM) scholarship,European Commission / EACEA - Erasmus+ Key Action 2,EU,EU Member States and third countries associated to Erasmus+; each consortium delivers study periods in at least two different countries,220 EMJM consortia listed in the EACEA Erasmus Mundus catalogue,both,tuition+stipend,16800,"Full programme length - 12, 18 or 24 months (max 24)","yes - Erasmus+ Programme Guide 2026, Erasmus Mundus action: 'EMJM scholarships can be offered to students from all over the world'; Tunisia is named under 'South-Mediterranean countries (Region 3)' in Programme Guide Part A Eligible Countries; same action page sets 'Region 3 (Neighbourhood South): 18% of the budget available from NDICI. At least 20% of this amount should be allocated to Tunisia'",Programme Guide: 'projects cannot charge tuition fees or other mandatory costs related to student participation in the course to Erasmus Mundus scholarship holders'; students who previously held an EMJM scholarship are not eligible again; consortia must keep any single nationality under 10% of scholarships awarded,Consortium-specific; there is no central EU deadline,"before university application - consortium scholarship rounds observed for the 2026 intake closed between 2025-12-20 and 2026-01-20, i.e. 8-9 months before the September start and months ahead of ordinary non-EU university deadlines",apply direct,https://erasmus-plus.ec.europa.eu/programme-guide/part-b/key-action-2/erasmus-mundus,2026-08-16,high
Erasmus Mundus Joint Master in Data Engineering and Artificial Intelligence (DEAI) - EMJM scholarship,European Commission / EACEA via the DEAI consortium (coordinator Universite Libre de Bruxelles),EU,"Belgium, Spain, Italy, Austria","Universite Libre de Bruxelles (BE, coordinator); Universitat Politecnica de Catalunya (ES); University of Padua (IT); TU Wien (AT)",A,tuition+stipend,16800,24 months,"yes - Erasmus+ Programme Guide 2026, Erasmus Mundus action: 'EMJM scholarships can be offered to students from all over the world'; Tunisia is named under 'South-Mediterranean countries (Region 3)' in Programme Guide Part A Eligible Countries; same action page sets 'Region 3 (Neighbourhood South): 18% of the budget available from NDICI. At least 20% of this amount should be allocated to Tunisia'; DEAI admission page states only that 'no more than 10% of the selected applicants can be of the same nationality' - no nationality is excluded","Bachelor of 180 ECTS from a university listed in WHED or named rankings; English B2 (IELTS Academic 5.5 / TOEFL iBT 72); selection scores the share of Computer Science credits in the bachelor and awards points per year of work in an 'IT or BI position'; partial scholarship variant covers participation costs only, with no stipend; self-funded partner-country participation cost is EUR 9,000/year",2026-01-13 PRIOR_CYCLE,"before university application - grant round for the 2026-2028 cohort opened 2025-10-21 and closed 2026-01-13 noon GMT; the separate self-funded non-EU round ran 2026-03-01 to 2026-04-30, so the scholarship deadline sat about 3.5 months ahead of the self-funded one and 8 months before the September start",apply direct,https://deai.ulb.be/home/students/admission/,2026-08-16,high
Erasmus Mundus Joint Master Programme on the Engineering of Data-intensive Intelligent Software Systems (EDISS) - EMJM scholarship,European Commission / EACEA via the EDISS consortium (coordinator Abo Akademi University),EU,"Finland, Spain, Italy, Sweden","Abo Akademi University (FI, coordinator); University of the Balearic Islands (ES); University of L'Aquila (IT); Malardalen University (SE)",A,tuition+stipend,16800,24 months,"yes - Erasmus+ Programme Guide 2026, Erasmus Mundus action: 'EMJM scholarships can be offered to students from all over the world'; Tunisia is named under 'South-Mediterranean countries (Region 3)' in Programme Guide Part A Eligible Countries; same action page sets 'Region 3 (Neighbourhood South): 18% of the budget available from NDICI. At least 20% of this amount should be allocated to Tunisia'; EDISS scholarship page states 'All applicants are welcome to apply regardless of nationality' and lists Tunisia in its South-Mediterranean regional table","Bachelor of at least 180 ECTS in computer science, software engineering or equivalent, with coursework in programming, algorithms, data structures, computer architecture, networks, software engineering and mathematics; IELTS Academic 6.5 (no band below 6) or TOEFL iBT 93; EDISS quotes the scholarship's total value as EUR 51,600 over two years (EUR 1,400/month plus a EUR 9,000/year participation-cost waiver)",2026-01-08 PRIOR_CYCLE,"before university application - for intake 6 (2026-2028) the Erasmus Mundus scholarship round closed 2026-01-08 15:00 Helsinki time; a tuition-fee-waiver round then ran 2026-02-25 to 2026-03-11 and the self-funded round only 2026-04-13 to 2026-04-20, so the scholarship deadline preceded the self-funded one by over three months",apply direct,https://www.master-ediss.eu/admission,2026-08-16,high
Erasmus Mundus Joint Master in Artificial Intelligence (EMAI) - EMJM scholarship,European Commission / EACEA via the EMAI consortium (coordinator Universitat Pompeu Fabra),EU,"Spain, Italy, Netherlands, Slovenia","Universitat Pompeu Fabra (ES, coordinator); Sapienza University of Rome (IT); Radboud University (NL); University of Ljubljana (SI)",A,tuition+stipend,16800,24 months,"yes - Erasmus+ Programme Guide 2026, Erasmus Mundus action: 'EMJM scholarships can be offered to students from all over the world'; Tunisia is named under 'South-Mediterranean countries (Region 3)' in Programme Guide Part A Eligible Countries; same action page sets 'Region 3 (Neighbourhood South): 18% of the budget available from NDICI. At least 20% of this amount should be allocated to Tunisia'","First-cycle degree of at least 180 ECTS in ICT, engineering, physics, mathematics or statistics - or in another field provided the applicant has 10-60 ECTS of bridging credits set by the Academic Programme Committee; the committee checks for a minimum 12 ECTS mathematics, 12 ECTS programming and 12 ECTS computing science; final selection explicitly weighs nationality and country of residence; interviews of 10-15 minutes are held online",2025-12-20 PRIOR_CYCLE,"before university application - for the 2026 intake the Erasmus Mundus scholarship window was 2025-11-15 to 2025-12-20 23:59 CET; tuition-fee-waiver candidates then applied 2025-12-21 to 2026-03-18, worldwide self-funded 2026-03-19 to 2026-06-05 and EU self-funded 2026-06-06 to 2026-07-06 - the scholarship deadline is the earliest of four rounds and about nine months before September enrolment",apply direct,https://www.upf.edu/web/emai/access-admission,2026-08-16,high
Erasmus Mundus Master Impact Entrepreneurship (EMMIE) - EMJM scholarship,European Commission / EACEA via the EMMIE consortium (coordinator HEC Liege),EU,"Belgium, Croatia, Lithuania","HEC Liege - Universite de Liege (BE, coordinator); Zagreb School of Economics and Management (HR); ISM University of Management and Economics, Vilnius (LT)",A,tuition+stipend,16800,18 months,"yes - Erasmus+ Programme Guide 2026, Erasmus Mundus action: 'EMJM scholarships can be offered to students from all over the world'; Tunisia is named under 'South-Mediterranean countries (Region 3)' in Programme Guide Part A Eligible Countries; same action page sets 'Region 3 (Neighbourhood South): 18% of the budget available from NDICI. At least 20% of this amount should be allocated to Tunisia'","18-month joint master; the consortium states it is 'open to students from all academic backgrounds', which suits a Business Intelligence licence; specific ECTS, fee and per-round deadline figures were not published on the pages reachable on 2026-08-16",NOT_FOUND,before university application - the consortium states the 2026-2028 application period has closed and the next recruitment will be announced on its site; no 2027 date published as at 2026-08-16,apply direct,https://www.emmie.uliege.be/cms/c_7950389/en/emmie,2026-08-16,medium
Models and Methods of Quantitative Economics (QEM) - EMJM scholarship,European Commission / EACEA via the QEM consortium (coordinator Universite Paris 1 Pantheon-Sorbonne),EU,"France, Belgium, Spain, Italy, Poland (plus a United States mobility partner)","Universite Paris 1 Pantheon-Sorbonne (FR, coordinator); Universite catholique de Louvain (BE); Universitat Autonoma de Barcelona (ES); Universita Ca' Foscari Venezia (IT); SGH Warsaw School of Economics (PL); University of Kansas (US)",A,tuition+stipend,16800,24 months,"yes - Erasmus+ Programme Guide 2026, Erasmus Mundus action: 'EMJM scholarships can be offered to students from all over the world'; Tunisia is named under 'South-Mediterranean countries (Region 3)' in Programme Guide Part A Eligible Countries; same action page sets 'Region 3 (Neighbourhood South): 18% of the budget available from NDICI. At least 20% of this amount should be allocated to Tunisia'","24-month, 120-ECTS full-time research-oriented programme; heavily mathematical economics rather than applied business analytics, so it is a partial rather than direct match to a Business Intelligence licence; the only round published for 2026-2028 was self-funding, running 2025-11-18 to 2026-06-30",NOT_FOUND,before university application - the site published only a self-funded round (2025-11-18 to 2026-06-30) for 2026-2028 and no separate Erasmus Mundus scholarship deadline; on the EMJM pattern a scholarship round would sit ahead of it,apply direct,https://master-economics-qem.eu/,2026-08-16,medium
"Mathematical Modelling, Simulation and Data Science for Industrial and Societal Challenges (MathsDISC) - EMJM scholarship",European Commission / EACEA via the MathsDISC consortium (coordinator University of Verona),EU,"Italy, Germany, Portugal, France, Ukraine",University of Verona (IT); Bergische Universitat Wuppertal (DE); Igor Sikorsky Kyiv Polytechnic Institute (UA); University of Lisbon (PT); Universite Grenoble Alpes (FR),A,tuition+stipend,16800,24 months,"yes - Erasmus+ Programme Guide 2026, Erasmus Mundus action: 'EMJM scholarships can be offered to students from all over the world'; Tunisia is named under 'South-Mediterranean countries (Region 3)' in Programme Guide Part A Eligible Countries; same action page sets 'Region 3 (Neighbourhood South): 18% of the budget available from NDICI. At least 20% of this amount should be allocated to Tunisia'","2 years / 4 semesters / 120 ECTS; the consortium states the study path 'is made in agreement with the Selection Committee according to the student's previous mathematical training', so a Business Intelligence licence is a weaker fit than for DEAI or EDISS",2026-06-30 PRIOR_CYCLE,"before university application - the site shows a round opening 2026-05-15 and closing 2026-06-30 17:00 CEST; this is a later-than-typical EMJM cycle, so confirm against the 2027 call when published",apply direct,https://mathsdisc.eu/,2026-08-16,medium
Data Science of Human Multimodal Communication (MULTICOM) - EMJM scholarship,European Commission / EACEA via the MULTICOM consortium (coordinator University of Murcia),EU,"Spain, Sweden, Germany",University of Murcia (ES); Lund University (SE); Friedrich-Alexander-Universitat Erlangen-Nurnberg (DE),both,tuition+stipend,16800,24 months,"yes - Erasmus+ Programme Guide 2026, Erasmus Mundus action: 'EMJM scholarships can be offered to students from all over the world'; Tunisia is named under 'South-Mediterranean countries (Region 3)' in Programme Guide Part A Eligible Countries; same action page sets 'Region 3 (Neighbourhood South): 18% of the budget available from NDICI. At least 20% of this amount should be allocated to Tunisia'","2 years / 120 ECTS across the three partners with a thesis term that may be taken anywhere; the consortium asks for a substantial background in language and communication studies plus foundational quantitative ability, so it bridges the two tracks but is not a pure analytics or pure media-production degree",2026-03-15 PRIOR_CYCLE,before university application - applications for the first cohort (starting 2026-09-01) were open until 2026-03-15; this is a first-edition programme so its calendar may shift for 2027,apply direct,https://multicom-em.eu/,2026-08-16,medium
DocNomadsPlus - Joint Master in Documentary Filmmaking - EMJM scholarship,European Commission / EACEA via the DocNomadsPlus consortium,EU,"Portugal, Lithuania, Belgium","Universidade Lusofona, Lisbon (PT); Lithuanian Academy of Music and Theatre, Vilnius (LT); LUCA School of Arts, Brussels (BE)",B,tuition+stipend,16800,24 months,"yes - Erasmus+ Programme Guide 2026, Erasmus Mundus action: 'EMJM scholarships can be offered to students from all over the world'; Tunisia is named under 'South-Mediterranean countries (Region 3)' in Programme Guide Part A Eligible Countries; same action page sets 'Region 3 (Neighbourhood South): 18% of the budget available from NDICI. At least 20% of this amount should be allocated to Tunisia'","Four semesters, about 24 places per cohort; entry expects a bachelor in film studies, audiovisual arts or media/communication studies, or an equivalent degree supported by a portfolio; application requires three video assignments; English B2 (IELTS Academic 6.5, TOEFL iBT 79, Duolingo 110); non-scholarship students pay EUR 15,000 for the four semesters, scholarship holders pay nothing",2027-01 (month only - exact day not yet published),"before university application - the consortium states the call opens November 2026, with the Erasmus Mundus scholarship deadline in January 2027 and a separate self-funded-only deadline in April 2027; the scholarship deadline is therefore about three months ahead of the self-funded route and eight months before the September 2027 start",apply direct,https://www.docnomadsplus.eu/application,2026-08-16,high
Re:Anima - European Joint Masters in Animation - EMJM scholarship,European Commission / EACEA via the Re:Anima consortium,EU,"Portugal, Ireland, Belgium","Universidade Lusofona - Film and Media Arts (PT); IADT Dun Laoghaire Institute of Art, Design and Technology (IE); LUCA School of Arts, Campus C-mine, Genk (BE)",B,tuition+stipend,16800,24 months,"yes - Erasmus+ Programme Guide 2026, Erasmus Mundus action: 'EMJM scholarships can be offered to students from all over the world'; Tunisia is named under 'South-Mediterranean countries (Region 3)' in Programme Guide Part A Eligible Countries; same action page sets 'Region 3 (Neighbourhood South): 18% of the budget available from NDICI. At least 20% of this amount should be allocated to Tunisia'","Open to European and non-European students with a BA related to animation and film production, or alternative qualifications backed by relevant professional experience; requires a portfolio/showreel of max 4 minutes with credited roles, 2-3 references, motivation and expectations statements of 1,000 characters each and a 300-word thesis project proposal; English B2 (IELTS 6.0, TOEFL iBT 79)",NOT_FOUND,"before university application - the consortium states it 'will open a call with scholarships in October 2026' for the 2027-2029 intake; on the pattern of its sister programmes at the same schools the scholarship deadline will fall in December 2026 or January 2027, but no date was published as at 2026-08-16",apply direct,https://www.reanima.eu/application/application-requirements,2026-08-16,medium
