track,country,city,institution,institution_type,programme_name_exact,degree_awarded,faculty_or_school,language,duration_months,ects,intake_months,tuition_non_eu_per_year,tuition_source_url,living_cost_estimate_year,app_deadline_non_eu,app_deadline_source_url,min_prior_ects,accepts_3yr_bachelor,english_req,other_tests,portfolio_required,work_experience_required,quantitative_prereqs,programme_url,post_study_work_visa,fit_notes,verified_date,confidence,entry_requirement_note,entry_requirement_source_url
A,Austria,Linz,Johannes Kepler University Linz,public,Economic and Business Analytics,Master of Science (MSc),JKU Business School and Department of Economics,EN,24,120,October,"1453.44 (EUR 726.72 per semester third-country tuition, plus EUR 26.20 per semester OeH fee; winter term 2026/27)",https://www.jku.at/en/degree-programs/students/start-your-studies/pay-austrian-student-union-fees-and-tuition/,NOT_FOUND,NOT_FOUND,https://www.jku.at/en/degree-programs/international-students/international-students/,180,yes,NOT_FOUND,"GMAT score of 600 or above, no older than two years, required from autumn 2026 for applicants who did not complete their prior degree at a recognised institution in the EU/EEA",n/a,no,"Bachelor in economics and business or business administration, or a comparable degree; with at least 6 ECTS in economics, business administration, mathematics or statistics the Rectorate may admit with up to 24 ECTS of supplementary examinations",https://www.jku.at/en/degree-programs/types-of-degree-programs/masters-degree-programs/ma-economic-and-business-analytics/,12-month residence permit to seek employment after graduation (Austria),Supplementary-examination route means a Business Intelligence licence can qualify even if subject coverage is thin. The new GMAT 600 rule for non-EU applicants is the binding constraint.,2026-08-16,medium,NOT_FOUND,NOT_FOUND
A,Austria,Vienna,University of Vienna,public,Business Analytics,Master of Science (MSc),"Joint programme of the faculties of Business, Economics and Statistics; Computer Science; Mathematics and others",EN,24,120,October,1453.44 (EUR 726.72 per semester third-country tuition at Austrian public universities),https://www.bmfwf.gv.at/en/science/studying/tuition-fees.html,NOT_FOUND,2026-04-07 PRIOR_CYCLE (application period 2 March - 7 April 2026 for 2026/27),https://studieren.univie.ac.at/en/admission/master-programmes/business-analytics/,180,yes,B2 CEFR,GRE General Test at least 300 points or GMAT at least 500 points,n/a,no,"Eligible bachelors listed: economics, business administration, business informatics, computer science, international business administration, mathematics, statistics",https://studieren.univie.ac.at/en/degree-programmes/master-programmes/business-analytics-master/,12-month residence permit to seek employment after graduation (Austria),Predictive and prescriptive analytics plus decision-support system design is the closest single match in the territory to a Business Intelligence bachelor. Capped at 40 places with a selection procedure.,2026-08-16,high,NOT_FOUND,NOT_FOUND
A,Austria,Vienna,WU Vienna University of Economics and Business,public,Digital Economy,Master of Science (MSc WU),WU Vienna University of Economics and Business,EN,24,120,October,"1453.44 (EUR 726.72 per semester non-EU/EEA tuition, plus EUR 26.20 per semester OeH fee)",https://www.wu.ac.at/en/students/getting-organized/tuition-fees-students-union-oeh-dues,NOT_FOUND,2026-10-08 (priority 1 deadline; further rounds 8 January and 8 March - WU advises third-country nationals to use the first round),https://www.wu.ac.at/en/programs/masters-programs/digital-economy/application-admission,180,yes,Proficiency documented per WU Admissions Office list,"GMAT or GRE, or at least two letters of recommendation from a teacher, advisor or supervisor",n/a,no,"Relevant bachelor's programme from a recognised post-secondary institution; programme covers AI, big data, information systems and digital business models",https://www.wu.ac.at/en/programs/masters-programs/digital-economy/overview,12-month residence permit to seek employment after graduation (Austria),"This is WU's regular full-time MSc, not an executive programme. Letters of recommendation can replace GMAT/GRE, which is unusual and lowers the testing burden.",2026-08-16,high,NOT_FOUND,NOT_FOUND
A,Austria,Vienna,TU Wien,public,Business Informatics,"Diplom-Ingenieur (Dipl.-Ing.), equivalent to Master of Science",Faculty of Informatics,EN,24,120,October; March,1453.44 (EUR 726.72 per semester third-country tuition at Austrian public universities),https://www.bmfwf.gv.at/en/science/studying/tuition-fees.html,NOT_FOUND,NOT_FOUND,https://www.tuwien.at/en/studies/admission/masters-programmes,180,conditional,B2 CEFR,NOT_FOUND,n/a,no,"87 ECTS of prerequisites required: 23 ECTS computer science, 28 ECTS business informatics, 18 ECTS economics, 18 ECTS structural sciences; conditional admission possible where up to 30 ECTS are missing",https://informatics.tuwien.ac.at/master/business-informatics/,12-month residence permit to seek employment after graduation (Austria),"Conditional admission absorbs up to 30 ECTS of missing prerequisites, which is the realistic route for a Business Intelligence licence. Heaviest subject-prerequisite load of the Track A set.",2026-08-16,medium,NOT_FOUND,NOT_FOUND
A,Belgium,Louvain-la-Neuve,UCLouvain,public,Master [120] in Business Engineering,"Master 120 credits (second-cycle degree, French Community of Belgium)",Louvain School of Management (LSM),EN/FR,24,120,NOT_FOUND,5369 (2026-2027: minerval 1194 + supplementary contribution 4175 for non-EU nationals),https://uclouvain.be/fr/inscriptions/montant-droits-inscription,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,conditional,French B2 (CEFR) required; English B1 strongly recommended for the English-taught courses,NOT_FOUND,n/a,no,NOT_FOUND,https://uclouvain.be/en-prog-2026-ingm2m,"yes - search year permit, max 12 months to seek work or start a company; source https://dofi.ibz.be/en/themes/third-country-nationals/study/search-year-after-higher-studies","Non-Belgian bachelor holders enter only via application review, with up to 60 credits of additional coursework possible. French B2 is an admission requirement, which the applicant meets.",2026-08-16,medium,NOT_FOUND,NOT_FOUND
A,Belgium,Brussels,Universite libre de Bruxelles (ULB),public,Master in Business engineering,"Master 120 credits (second-cycle degree, French Community of Belgium)",Solvay Brussels School of Economics and Management,EN/FR,24,120,NOT_FOUND,5369 (2026-2027: 1194 base fee + 4175 additional fee for non-EU nationals not exempt under the ARES circular),https://www.ulb.be/en/enrolment/tuitions-fees,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,n/a,no,NOT_FOUND,https://www.ulb.be/en/programme/ma-inge,"yes - search year permit, max 12 months to seek work or start a company; source https://dofi.ibz.be/en/themes/third-country-nationals/study/search-year-after-higher-studies",Bilingual English/French 120-credit master at Solvay. Admission criteria for foreign bachelor holders are not published on the programme page and must be requested from the school.,2026-08-16,medium,NOT_FOUND,NOT_FOUND
A,Belgium,Ghent,Ghent University,public,Master of Science in Business Engineering - main subject Data Analytics,"Master of Science (MSc), 120 credits",Faculty of Economics and Business Administration,EN,24,120,September,"7079.40 (non-EEA, Tuition Fee B tier, academic year 2026-2027; EUR 305.40 fixed + 60 x (31 + 81.90))",https://www.ugent.be/student/en/administration/tuition/tuition-fee-master-programme-not-advanced-and-masters-programme-in-teaching.htm/tuitionmasterteacher20262027.htm,NOT_FOUND,2027-04-01,https://www.ugent.be/eb/en/study-programmes/master-in-business-engineering/programme-overview.htm,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,n/a,no,"Data Analytics main subject of 34 ECTS within a 120-ECTS programme (50 ECTS compulsory courses, 12 ECTS electives, 24 ECTS dissertation)",https://www.ugent.be/eb/en/study-programmes/master-in-business-engineering,"yes - search year permit, max 12 months to seek work or start a company; source https://dofi.ibz.be/en/themes/third-country-nationals/study/search-year-after-higher-studies",English-taught business-engineering master with a dedicated Data Analytics major at a fraction of Dutch non-EU tuition. Ghent states 1 April as the non-EEA application deadline.,2026-08-16,medium,NOT_FOUND,NOT_FOUND
A,Belgium,Leuven,KU Leuven,public,Master of Business Engineering (Leuven),"Master of Science, 120 credits",Faculty of Economics and Business (FEB),EN,24,120,NOT_FOUND,"9493.90 (2026-2027 non-EEA tuition fee, full-time 60 credits)",https://hiw.kuleuven.be/en/apply/tuitionfees,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,n/a,no,majors include Quantitative Methods for Decision Making and Quantitative Marketing; no major named Business Analytics,https://onderwijsaanbod.kuleuven.be/opleidingen/e/SC_53419709/diploma_omschrijving,"yes - search year permit, max 12 months to seek work or start a company; source https://dofi.ibz.be/en/themes/third-country-nationals/study/search-year-after-higher-studies",Closest KU Leuven match to Track A is the Quantitative Methods for Decision Making major (24 ECTS) inside this business-engineering master. There is no dedicated business-analytics major.,2026-08-16,medium,NOT_FOUND,NOT_FOUND
A,Belgium,Liege,Universite de Liege (HEC Liege),public,"Master : ingenieur de gestion, a finalite specialisee en digital business","Master 120 credits (second-cycle degree, French Community of Belgium)",HEC Liege - Ecole de gestion de l'Universite de Liege,EN/FR,24,120,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,240,conditional,English B2 (CEFR),NOT_FOUND,n/a,no,NOT_FOUND,https://www.programmes.uliege.be/cocoon/20252026/formations/condac/G2SDBU01.html,"yes - search year permit, max 12 months to seek work or start a company; source https://dofi.ibz.be/en/themes/third-country-nationals/study/search-year-after-higher-studies","Foreign degrees must be valued at a minimum of 240 credits of which 180 first-cycle, so the applicant's 180-ECTS licence is below the stated threshold. Programme is organised essentially in English; the catalogue page consulted is the 2025-2026 edition.",2026-08-16,low,NOT_FOUND,NOT_FOUND
A,Croatia,Zagreb,Algebra Bernays University,private-accredited-by-state,Data Science,"Data Science specialisation of the Professional Graduate Study Programme in Applied Computer Engineering; academic title mag. ing. comp. (Professional Master in Computer Engineering, sub-specialization in Data Science)",Algebra Bernays University,EN,24,120,10,5490 (rate for holders of an undergraduate degree from another institution; 5280 for Algebra graduates; academic year 2025/2026) PRIOR_CYCLE,https://www.algebra.hr/sveuciliste/en/admissions/tuition-fee/tuition-fees-2025-2026/tuition-fees-for-international-students-outside-eu-eaa/,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,English language requirements published at https://www.algebra.hr/sveuciliste/en/admissions/english-language-requirements/,NOT_FOUND,no,no,NOT_FOUND,https://www.algebra.hr/sveuciliste/en/graduate-study-programmes/data-science/,NOT_FOUND,"Advanced analytics, machine learning, computer vision, big-data techniques and data visualisation applied to business contexts, a close fit to the applicant's Power BI and scikit-learn base. Delivery is blended (online plus campus) or fully online; an optional dual degree with Goldsmiths, University of London is offered alongside the Croatian degree.",2026-08-16,medium,NOT_FOUND,NOT_FOUND
