scholarship_name,funder,level,countries_covered,institutions_covered,tracks_eligible,covers,amount_eur_year,duration_covered,tunisia_eligible,other_eligibility,deadline,deadline_relative_to,application_route,url,verified_date,confidence
ESMT Panzer Scholarship,ESMT Berlin (Panzer / TSH Talent Foundation),institutional,Germany,ESMT Berlin,A,partial,35000 (per scholarship; two available),NOT_FOUND,yes,"Eligibility clause: 'restricted to candidates applying to ESMT Master programs who: are aged 30 or younger; are both a citizen and current resident of a country in Africa; have founded a business or social enterprise'. Tunisia is a country in Africa, so a Tunisian citizen resident in Tunisia meets the nationality/residence test; the founder requirement is the binding condition. Recipients may also be considered for the TSH Talent Foundation Changemaker Scholarship Program (10 months of housing in Berlin plus mentorship).",NOT_FOUND,Submitted with the admission application - the scholarship essay is part of the ESMT online application,apply via university (scholarship essay inside the online admission application),https://esmt.berlin/master-programs/scholarships-financing,2026-08-16,high
IE School of Science and Technology Dean's Award,IE University,institutional,Spain,IE University - IE School of Science and Technology,A,partial,30100 (70% of tuition; IE School of Science and Technology master fee 43000 EUR/year),Duration of the programme,yes,"Nationality: all nationalities; country of residence: all countries. Minimum GPA 3.8/4, 4.75/5 or 9.5/10. One annual award.",NOT_FOUND,"Granted automatically upon admission - assessed from the admission application, so the effective deadline is the programme admission round deadline",apply via university (Direct Award - no separate financial aid application),https://www.ie.edu/financial-aid/masters/awardsandscholarships/,2026-08-16,high
UCD Global Excellence Scholarship,University College Dublin,institutional,Ireland,University College Dublin,both,tuition,26180 (100% tuition fee scholarship) or 13090 (50%); UCD non-EU master fee 26180 EUR/year,One academic year - not automatically renewed for continuing students,yes,Eligibility clause: 'ONLY open to incoming students who are classed as non-EU for tuition fee purposes'; the applicant must first hold an offer or conditional offer for an eligible UCD course (an Eligible Programmes list applies and some programmes are excluded). Tunisia appears in the country filter for this scholarship on the UCD Global scholarships listing.,"2026-02-28 PRIOR_CYCLE for graduate taught applicants from the Middle East, Africa and Pakistan regions (all other regions 2026-03-31)","After receiving a programme offer, but the Africa-region deadline is a MONTH EARLIER than the general deadline, and UCD warns it cannot guarantee that admission applications will be processed before the scholarship deadline - so the programme application must be submitted well before 28 February",apply via university (separate online scholarship application after an offer),https://www.ucd.ie/global/study-at-ucd/scholarshipsfinances/scholarships/globalexcellencescholarships/,2026-08-16,high
IE Business School Dean's Award,IE University,institutional,Spain,IE University - IE Business School,B,partial,25900 (70% of tuition; IE Business School master fee 37000 EUR/year),Duration of the programme,yes,"Nationality: all nationalities; country of residence: all countries. Minimum GPA 3.8/4, 4.75/5 or 9.5/10. Two awards per year (Spring and Fall intakes).",NOT_FOUND,"Granted automatically upon admission - assessed from the admission application, so the effective deadline is the programme admission round deadline",apply via university (Direct Award - no separate financial aid application),https://www.ie.edu/financial-aid/masters/awardsandscholarships/,2026-08-16,high
VU Fellowship Programme (VUFP),Vrije Universiteit Amsterdam,institutional,Netherlands,Vrije Universiteit Amsterdam,A,tuition,"24150 (merit-based tuition fee waiver; 2026/27 non-EEA institutional fee 24150 EUR. Covers tuition only, not living costs)",The master's programme,yes,Requires a non-EEA passport with no entitlement to the lower statutory rate; a GPA at least equivalent to a Dutch 8.0; conditional or unconditional admission to a full-time English-taught master's starting September; the degree must not have been obtained in the Netherlands; and the applicant must not currently be enrolled in a Dutch bachelor's or master's. Can be combined with the NL Scholarship (5000 or 10000 EUR for the entire study period).,2026-02-01 23:59 CET (VUFP application; opens 2025-11-01). Advised master's programme application deadline 2025-12-01. Results mid-March 2026; acceptance by end of March 2026.,After registering for the master's programme via Studielink - the VUFP form is submitted through the VU personal dashboard; the advised programme deadline is two months before the scholarship deadline,apply via university (separate VUFP application via the VU dashboard),https://vu.nl/en/education/more-about/incoming-master-scholarships,2026-08-16,high
RSM non-EEA Scholarship of Excellence (MSc),"Rotterdam School of Management, Erasmus University",institutional,Netherlands,Erasmus University Rotterdam (Rotterdam School of Management),A,partial,23106 (waiver of the difference between the non-EEA fee of 25800 EUR and the statutory fee of 2694 EUR in 2026-2027),"One academic year, maximum 12 months",yes,"Eligibility clause: 'Your nationality is non-EEA'; open to prospective MSc students from all non-EEA countries who do not already hold a degree from a Netherlands institution. Requires a GMAT or GRE score, English language test results, and a completed Scholarship Financial Assessment Form. Recipients must serve as an RSM Ambassador for about 8 hours a month during the academic year. Applicants cannot choose a specific scholarship - RSM assigns it.",2026-03-01 (all RSM MSc programmes; 2026-01-31 for MSc International Management/CEMS). Window opens 2025-10-01. Committee decides 2026-04-15.,Submitted alongside the programme application in OLAF; the scholarship application must be complete (GMAT/GRE included) by the scholarship deadline,apply via university (scholarship section of the OLAF admission application),https://www.rsm.nl/education/scholarships/msc-scholarships/rsm-non-eea-scholarship-of-excellence-msc/,2026-08-16,high
International Scholarships for NABA Masters of Arts and Academic Masters,NABA - Nuova Accademia di Belle Arti,institutional,Italy,NABA - Nuova Accademia di Belle Arti,B,partial,NOT_FOUND (the call states 'partial tuition fee coverage'; NABA non-EU master fee is 22250 EUR/year PRIOR_CYCLE),NOT_FOUND,yes,Scholarship competition explicitly 'tailored for students wishing to enrol in a NABA Master of Arts or Academic Master at the Milan or Rome campuses' and launched to 'support highly motivated and talented International students' - no nationality exclusion. For programmes starting October 2026.,2026-02-26 (for the October 2026 intake),Separate scholarship competition run in parallel with admission; deadline falls well before the programme start and before most enrolment deadlines,apply via university (separate scholarship competition application),https://www.naba.it/en/news-events/international-scholarships,2026-08-16,medium
Maastricht University NL-High Potential Scholarship,"Maastricht University Scholarship Fund and Dutch Ministry of Education, Culture and Science",institutional,Netherlands,Maastricht University,both,tuition+stipend,21500 tuition fee waiver plus 20150 living expenses for 13 months plus 700 health and liability insurance (2026-2027 figures; amounts subject to change for 2027-2028),13 months (one-year master's) or 25 months (two-year master's),yes,"Eligibility clause: 'You hold a nationality in a country outside the EU/EEA, Switzerland or Surinam' and must not hold dual EU/EEA or Swiss nationality; must meet visa and residence-permit requirements. 21 scholarships per year; only about 2% of applicants are awarded. Only master's programmes on the published participating-programmes list are eligible. One application only, for one scholarship only. Accepting the scholarship means accepting an allocated UM room, and a two-week Pre-Academic Training in August is mandatory.","2026-02-01 scholarship deadline PRIOR_CYCLE, but the master's programme application via Studielink must be submitted by 8 December - and all admission requirements must be met by 1 February. For 2027-2028 applications open from 1 October 2026.","Two-stage and the earlier stage is the trap: apply for the programme through Studielink by 8 December to obtain a student ID, then submit the scholarship form by 1 February",apply via university (separate scholarship application form after programme registration),https://www.maastrichtuniversity.nl/studeren/toelating-inschrijving/financing-your-studies/scholarships/maastricht-university-nl-high,2026-08-16,high
Aalto University Excellence Scholarship,Aalto University,institutional,Finland,Aalto University,both,tuition,20000 (full tuition fee waiver; Aalto non-EU master fee 20000 EUR/year). Does not cover living costs.,The normative study period of the degree (two years for a master's),yes,"Eligibility clause: only students who are liable to pay tuition fees - i.e. non-EU/EEA/Swiss citizens - may apply; EU/EEA citizens are explicitly ineligible. Merit-based, granted competitively to the highest-achieving applicants against the programme's evaluation criteria; individual programmes may decide not to grant any scholarship. Candidates are screened against EU sanctions lists.",The master's admission application deadline - 'Scholarship must be applied during the application period. You cannot apply for a scholarship after the application period.',Inside the admission application - the scholarship application is part of the application form for admission; the decision is given at the same time as the admission decision,apply via university (tick the scholarship option in the admission application form),https://www.aalto.fi/en/admission-services/scholarships-and-tuition-fees,2026-08-16,high
Esade MSc Need-based Scholarship,Esade Business School - Universitat Ramon Llull,institutional,Spain,Esade Business School - Universitat Ramon Llull,A,partial,19500-33150 (50%-85% of the 39000 EUR one-year MSc tuition fee),One-year MSc programme,yes,Clause: 'Financial aid is open to all applicants once admitted to the MSC Program' - no nationality restriction. Requires an above-average Admissions Test score and evaluation of family household financial circumstances with supporting economic documents. Not compatible with other Esade prizes or awards.,NOT_FOUND (2026-2027 scholarship call guidelines published as a PDF),After admission - open to applicants once admitted to the MSc; Esade encourages submitting the aid request together with the initial MSc application,apply via university (separate scholarship application form plus financial documentation),https://www.esade.edu/master-of-science/en/fees-and-financing,2026-08-16,high
